1.9228923724512805,-3.9175469923183193,3.334834432655084|0.04|0,78.34001908413502,0
43.51924513986485,-3.999698110882697,2.9850946952304844|0.04|0,241.69798691255812,0
77.64151570921493,-3.8756881687266613,2.245606694940231|0.04|0,270.683205270054,0
43.41360027362642,-3.3644713749208535,19.173777490369467|0.04|0,171.56932180905605,0
65.20484248533273,-3.8742799778732007,30.036760306335818|0.04|0,165.80346444009,0
30.25119897971728,-3.0766581890335907,38.13456363728122|0.032000000000000015|0,307.98749238248536,0
2.4064134545264935,-4,30.063068111646864|0.04|0,103.68349693460414,0
72.44369943956403,-2.927092570163655,37.8072341760315|0.04|0,200.79265408669616,0
43.39786705732352,-3.717829236158483,62.152960897318536|0.04|0,93.44347912032175,0
50.83867365306804,-3.318428738185082,75.77491473473346|0.019000000000000038|0,129.04176576395037,0
36.27490179756533,-3.9964689943478113,77.12307533068967|0.04|0,98.50794336977279,0
6.209475872412375,-3.448174195817753,68.48317839173278|0.04|0,343.6335509377996,0
